weather,period,severity,weather_year,electricity_kwh,mean_top_c,mean_pmv,mean_ppd_pct,mean_p_tail,diagnostic_mean_zone_high_tail_pct,diagnostic_max_zone_high_tail_pct,adaptive_90_violation_pct,adaptive_80_violation_pct,pmv_abs_gt_1_0_pct,ppd_gt_25_pct,best_strategy,best_saving_pct,tsv_tail_saving_pct,tsv_mean_p_tail,tsv_mean_zone_high_tail_pct,tsv_max_zone_high_tail_pct,headroom_regime
guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,2020s,heatwave,2026,25059.439621252317,26.333390076504873,0.59526875,14.278297279135064,0.1272696089608037,15.312500000000002,51.40625,0.0,0.0,12.03125,12.968750000000002,paperb_adaptive_band_relax,-1.894272479382475,-1.8783533782901096,0.1347618656252129,16.71875,50.625,viable
guangzhou_ssp585_baseline_2020s_hot_2028,2020s,hot,2028,22939.464707896837,25.63611579944966,0.3678249999999999,9.095521555774178,0.0857847224292312,5.46875,17.96875,0.0,0.0,2.8125,3.5937499999999996,paperb_adaptive_band_relax,-2.1581572611373168,-2.157309693758902,0.0990331471294652,7.34375,20.625,viable
guangzhou_ssp585_baseline_2020s_typical_2025,2020s,typical,2025,24081.43400944812,25.96258180139324,0.4760270833333333,11.353954331687609,0.1029878646276039,8.90625,31.093749999999996,0.0,0.0,7.34375,7.8125,paperb_adaptive_band_relax,-2.1149325868293323,-2.110273231100379,0.114751126126371,11.40625,34.84375,viable
guangzhou_ssp585_near_2030s_heatwave_extreme_2033,2030s,heatwave,2033,24180.790388304387,26.134219573279815,0.5292885416666666,12.931172108855066,0.1158268023358433,16.40625,35.0,0.0,0.0,11.25,13.90625,paperb_adaptive_band_relax,-2.082987374877432,-2.0719937053648274,0.1253169604719284,18.125,34.53125,viable
guangzhou_ssp585_near_2030s_hot_2033,2030s,hot,2033,24180.790388304387,26.134219573279815,0.5292885416666666,12.931172108855066,0.1158268023358433,16.40625,35.0,0.0,0.0,11.25,13.90625,paperb_adaptive_band_relax,-2.082987374877432,-2.0719937053648274,0.1253169604719284,18.125,34.53125,viable
guangzhou_ssp585_near_2030s_typical_2039,2030s,typical,2039,22385.174454819728,25.386631924931205,0.2899520833333333,7.456811798000738,0.0736256109479443,1.7187500000000002,8.75,0.0,0.0,0.0,0.625,paperb_adaptive_band_relax,-2.588630487944832,-2.5885392275458163,0.085677596651514,2.03125,11.875,viable
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,2050s,heatwave,2059,24711.329024909137,26.10592862662113,0.52609375,12.457966063725726,0.1129367387697061,11.09375,43.75,0.15625,0.0,8.125,8.90625,paperb_adaptive_band_relax,-2.0869776494140013,-2.0730762234648203,0.1209516107405797,12.03125,44.0625,viable
guangzhou_ssp585_mid_2050s_hot_2057,2050s,hot,2057,22732.34850861167,25.626371051368096,0.3594802083333333,9.1106037885896,0.0882191226248888,6.875000000000001,18.125,0.0,0.0,6.25,6.875000000000001,paperb_adaptive_band_relax,-1.779466174326605,-1.7791683178629225,0.1004431389145696,7.5,21.5625,viable
guangzhou_ssp585_mid_2050s_typical_2050,2050s,typical,2050,24709.902172075912,26.2226284594194,0.562628125,13.75746505433031,0.1240591195503793,19.53125,41.25,0.0,0.0,12.812499999999998,15.156249999999998,paperb_adaptive_band_relax,-1.8567466384602604,-1.8358222111656497,0.1350572142231888,22.34375,44.0625,viable
guangzhou_ssp585_late_2080s_heatwave_extreme_2086,2080s,heatwave,2086,28164.8912803814,29.06949530731306,1.4737552083333334,49.86354502029903,0.3240378983301596,95.15625,99.6875,2.96875,0.0,89.6875,90.46875,paperb_adaptive_band_relax,-0.1340779514372947,-0.0067722036581452,0.3240386749490128,95.15625,99.53125,collapsed
guangzhou_ssp585_late_2080s_hot_2086,2080s,hot,2086,28164.8912803814,29.06949530731306,1.4737552083333334,49.86354502029903,0.3240378983301596,95.15625,99.6875,2.96875,0.0,89.6875,90.46875,paperb_adaptive_band_relax,-0.1340779514372947,-0.0067722036581452,0.3240386749490128,95.15625,99.53125,collapsed
guangzhou_ssp585_late_2080s_typical_2087,2080s,typical,2087,25163.337722776676,26.545330318231017,0.67181875,17.43804044986235,0.1554140766251548,32.96875,56.875,0.0,0.0,26.406249999999996,27.187499999999996,paperb_adaptive_band_relax,-1.5131822064549327,-1.5088941659242905,0.1619964326682587,33.4375,56.40625,viable
